"","Baba.F","Baba.P","Shinmura.F","Shinmura.P","Hashimoto.F","Hashimoto.P","Kudo.F","Kudo.P","Koizumi.F","Koizumi.P","Takahara.F","Takahara.P","Uno.F","Uno.P","Gandou.F","Gandou.P","Kobayashi.F","Kobayashi.P","Myotoku.F","Myotoku.P","Ryouma.F","Ryouma.P","Anabuki.F","Anabuki.P","Momotaro.F","Momotaro.P","Fujita.F","Fujita.P","Rakunou.Oukoku.F","Rakunou.Oukoku.P"
"ASV119","0.1861631874022","n.s","11.4732822504059","***","0.250597144732779","n.s","0.250597144732778","n.s","0.250597144732779","n.s","0.301368544588514","n.s","0.267374723772024","n.s","0.250597144732778","n.s","0.260336640741292","n.s","0.236444776223462","n.s","0.129458017632065","n.s","6.30351439511201","*","0.00286759974823716","n.s","0.233959664875836","n.s","0.260336640741292","n.s"
"ASV56","0.170569473459172","n.s","0.170569473459177","n.s","0.15986196554566","n.s","0.123879802993057","n.s","27.5839724063245","***","0.192261155302259","n.s","0.170568892707131","n.s","0.159861965545666","n.s","0.170568892707131","n.s","0.184524054120051","n.s","0.181368261933758","n.s","0.181368261933758","n.s","0.159861965545662","n.s","0.149244969504615","n.s","0.17056889270713","n.s"
"ASV115","0.167306370726625","n.s","0.186181106044712","n.s","3.80462938204402","n.s","0.225881220769935","n.s","0.296600705805904","n.s","0.323491030060026","n.s","0.279663926275694","n.s","0.288266408011989","n.s","0.149443685220143","n.s","0.0773308069559714","n.s","0.0702591149072681","n.s","0.231940306961761","n.s","12.2445273561176","***","0.0997457350289225","n.s","0.291673699104075","n.s"
"ASV75","0.100926123397423","n.s","0.100926123397425","n.s","0.0945890504932722","n.s","0.0779472715051102","n.s","0.0945890504932724","n.s","0.113763794441302","n.s","0.100925913119169","n.s","14.7476274169967","***","0.100925913119169","n.s","0.100925913119169","n.s","0.11944783935755","n.s","0.107317273582518","n.s","0.0586146831181064","n.s","0.0882874348893835","n.s","0.100925913119169","n.s"
"ASV180","23.8813855672098","***","0.921754068430019","n.s","0.182472322223645","n.s","1.59349646130758","n.s","0.585563953669963","n.s","0.208945149179593","n.s","8.30926564940695","**","0.151832450977716","n.s","0.775130324867839","n.s","0.639893377116603","n.s","0.683036569499516","n.s","1.18883727950281","n.s","0.562763895490891","n.s","0.217120141908189","n.s","0.840926256970842","n.s"
"ASV107","0.961985300801934","n.s","0.908491857101528","n.s","23.2513706471585","***","0.927380602346579","n.s","0.900175519811928","n.s","0.00650706820969711","n.s","0.323308071285829","n.s","0.650605121357847","n.s","0.882314626997098","n.s","0.121289993966208","n.s","0.854844539743","n.s","1.11311045323129","n.s","0.225579285546808","n.s","0.243101824551235","n.s","0.757275417028197","n.s"
"ASV381","0.123225853411705","n.s","13.1647986044049","***","0.0510818452485501","n.s","0.144209508169504","n.s","0.144209508169504","n.s","0.178678314833126","n.s","0.154139764192912","n.s","0.144209508169504","n.s","0.0858229195166775","n.s","0.158518514490054","n.s","0.034911844304571","n.s","0.0673925863387118","n.s","0.0413082689658203","n.s","0.547181978172965","n.s","0.133167517858136","n.s"
"ASV358","0.399300106932209","n.s","0.242125224951212","n.s","0.37211162936726","n.s","0.372111629367266","n.s","0.372111629367264","n.s","0.0485200306816133","n.s","0.692187617939875","n.s","0.372111629367262","n.s","0.363272578747929","n.s","0.0170273416719832","n.s","31.2277954469532","***","0.13378544526324","n.s","0.37211162936726","n.s","0.276121321420953","n.s","0.397670590836598","n.s"
"ASV109","5.31250712330252","*","0.314954637429918","n.s","0.000143781351070014","n.s","0.0415571404259349","n.s","11.6278080818158","***","0.354988709783117","n.s","0.30095385419224","n.s","0.295194000454411","n.s","0.26953144561787","n.s","0.273913956504125","n.s","0.330161115056083","n.s","0.255024234212242","n.s","0.285869231280469","n.s","0.0513163543341184","n.s","0.314952799846367","n.s"
"ASV235","0.196624386500159","n.s","0.196624386500166","n.s","0.178460510768906","n.s","0.184284927812477","n.s","0.184284927812477","n.s","0.22162964170896","n.s","0.196625998676706","n.s","0.184284927812475","n.s","0.00231888913599099","n.s","0.196625998676704","n.s","0.0971058917382939","n.s","0.0172719327690844","n.s","0.175583454084328","n.s","0.171980633282493","n.s","27.3553229425972","***"
